ip,total_requests,error_requests,error_rate
piweba3y.prodigy.com,21988,157,0.71
piweba4y.prodigy.com,16437,86,0.52
piweba1y.prodigy.com,12825,114,0.89
edams.ksc.nasa.gov,11964,33,0.28
163.206.89.4,9697,27,0.28
news.ti.com,8161,37,0.45
www-d1.proxy.aol.com,8047,65,0.81
alyssa.prodigy.com,8037,56,0.7
siltb10.orl.mmc.com,7573,0,0.0
www-a2.proxy.aol.com,7516,60,0.8
www-b2.proxy.aol.com,7266,53,0.73
piweba2y.prodigy.com,7246,59,0.81
www-b3.proxy.aol.com,7218,61,0.85
www-d4.proxy.aol.com,7211,91,1.26
www-b5.proxy.aol.com,7080,50,0.71
www-d2.proxy.aol.com,6984,59,0.84
www-b4.proxy.aol.com,6972,62,0.89
www-d3.proxy.aol.com,6895,54,0.78
webgate1.mot.com,6749,14,0.21
e659229.boeing.com,6720,15,0.22
www-a1.proxy.aol.com,6661,50,0.75
www-c2.proxy.aol.com,6436,49,0.76
poppy.hensa.ac.uk,6428,11,0.17
vagrant.vf.mmc.com,6383,19,0.3
www-c5.proxy.aol.com,6099,32,0.52
disarray.demon.co.uk,5838,27,0.46
www-c6.proxy.aol.com,5624,40,0.71
www-c4.proxy.aol.com,5561,53,0.95
www-c3.proxy.aol.com,5528,37,0.67
www-c1.proxy.aol.com,5439,26,0.48
www-relay.pa-x.dec.com,4896,47,0.96
piweba5y.prodigy.com,4607,31,0.67
intgate.raleigh.ibm.com,4510,26,0.58
www-proxy.crl.research.digital.com,4337,32,0.74
198.133.29.18,4203,16,0.38
palona1.cns.hp.com,4142,18,0.43
proxy0.research.att.com,3888,5,0.13
derec,3674,27,0.73
www-b6.proxy.aol.com,3672,48,1.31
sgigate.sgi.com,3658,3,0.08
trusty.lmsc.lockheed.com,3513,8,0.23
beta.xerox.com,3407,12,0.35
mpngate1.ny.us.ibm.net,3262,11,0.34
cliffy.lfwc.lockheed.com,3194,13,0.41
bill.ksc.nasa.gov,3126,0,0.0
bocagate.bocaraton.ibm.com,3104,2,0.06
gw1.att.com,3055,14,0.46
163.205.156.16,2961,18,0.61
interlock.turner.com,2828,21,0.74
163.206.137.21,2787,7,0.25
jbiagioni.npt.nuwc.navy.mil,2769,132,4.77
indy.gradient.com,2686,0,0.0
gw2.att.com,2641,30,1.14
koriel.sun.com,2601,25,0.96
proxy.austin.ibm.com,2535,43,1.7
erigate.ericsson.se,2454,12,0.49
tiber.gsfc.nasa.gov,2409,18,0.75
gatekeeper.mitre.org,2348,18,0.77
gw3.att.com,2341,5,0.21
igate.uswest.com,2318,7,0.3
ottgate2.bnr.ca,2287,16,0.7
www-b1.proxy.aol.com,2270,34,1.5
gn2.getnet.com,2266,25,1.1
sahp315.sandia.gov,2264,15,0.66
bstfirewall.bst.bls.com,2207,6,0.27
inet2.tek.com,2205,9,0.41
wwwproxy.sanders.com,2167,6,0.28
gateway.cary.ibm.com,2144,7,0.33
spider.tbe.com,2079,7,0.34
ntigate.nt.com,2043,10,0.49
163.205.1.45,2017,70,3.47
gw4.att.com,2008,7,0.35
currypc.fpl.msstate.edu,1970,0,0.0
n1144637.ksc.nasa.gov,1896,0,0.0
corpgate.nt.com,1879,4,0.21
news.dfrc.nasa.gov,1865,0,0.0
sdn_b6_f02_ip.dny.rockwell.com,1844,8,0.43
gwa.ericsson.com,1823,10,0.55
marina.cea.berkeley.edu,1799,0,0.0
gatekeeper.cca.rockwell.com,1798,2,0.11
internet-gw.ford.com,1789,9,0.5
bbuig150.unisys.com,1730,2,0.12
128.159.122.180,1680,1,0.06
theopolis.orl.mmc.com,1671,0,0.0
128.217.62.1,1598,3,0.19
gatekeeper.us.oracle.com,1566,9,0.57
n1032336.ksc.nasa.gov,1565,0,0.0
163.205.11.31,1549,0,0.0
nidhogg.srl.caltech.edu,1544,0,0.0
heimdallp2.compaq.com,1544,3,0.19
gate.chips.ibm.com,1542,18,1.17
klothos.crl.research.digital.com,1532,7,0.46
advantis.vnet.ibm.com,1510,16,1.06
usstyx.glaxo.com,1509,6,0.4
inetg1.arco.com,1498,13,0.87
kscdl1.cad.ksc.nasa.gov,1432,1,0.07
twip.prl.philips.nl,1429,1,0.07
jericho3.microsoft.com,1428,7,0.49
163.205.1.19,1419,5,0.35
ariel.earth.nwu.edu,1408,4,0.28
arctic.nad.northrop.com,1371,4,0.29
stortek1.stortek.com,1355,2,0.15
128.159.122.110,1348,0,0.0
amdext.amd.com,1339,1,0.07
orpheus.amdahl.com,1332,20,1.5
pinta.csee.usf.edu,1331,1,0.08
keyhole.es.dupont.com,1310,5,0.38
128.159.111.141,1296,10,0.77
163.205.3.104,1292,3,0.23
www-c8.proxy.aol.com,1284,9,0.7
lamar.d48.lilly.com,1268,1,0.08
163.205.19.20,1252,0,0.0
host62.ascend.interop.eunet.de,1238,7,0.57
ftp-relay.mv.us.adobe.com,1234,0,0.0
sophocles.algonet.se,1233,13,1.05
128.217.62.2,1229,9,0.73
enigma.idirect.com,1217,5,0.41
163.206.140.4,1211,1,0.08
163.206.104.34,1201,29,2.41
titan02f,1200,63,5.25
relay02.jpmorgan.com,1196,6,0.5
n1144796.ksc.nasa.gov,1189,0,0.0
triton,1187,4,0.34
proxy.kodak.com,1174,15,1.28
ssbuv.gsfc.nasa.gov,1170,4,0.34
hpcvsop.cv.hp.com,1170,1,0.09
screen.lotus.com,1167,3,0.26
140.229.116.37,1166,0,0.0
128.159.122.107,1153,1,0.09
cbxguy.vip.best.com,1128,11,0.98
www-e1f.gnn.com,1127,24,2.13
rush.internic.net,1119,0,0.0
tia1.eskimo.com,1105,15,1.36
gatekeeper.es.dupont.com,1100,5,0.45
jericho2.microsoft.com,1097,2,0.18
atropos.jf.intel.com,1093,8,0.73
reddragon.ksc.nasa.gov,1090,38,3.49
bettong.client.uq.oz.au,1085,19,1.75
163.205.2.105,1079,2,0.19
fw1.torolab.ibm.com,1053,0,0.0
firewall.dfw.ibm.com,1052,1,0.1
metabelis.rmit.edu.au,1047,5,0.48
n1376232.ksc.nasa.gov,1035,1,0.1
inet1.nsc.com,1032,2,0.19
n1040681.ksc.nasa.gov,1028,0,0.0
n1142702.ksc.nasa.gov,1022,15,1.47
199.1.50.225,1020,10,0.98
gate.ps.cae.ntt.jp,1018,6,0.59
199.201.186.103,1009,5,0.5
faure.borland.com,1008,4,0.4
163.205.156.61,1008,0,0.0
pc092040.oulu.fi,1007,0,0.0
hoohoo.ncsa.uiuc.edu,367,251,68.39
dialip-217.den.mmc.com,111,62,55.86
phaelon.ksc.nasa.gov,64,64,100.0
nexus.mlckew.edu.au,56,37,66.07
163.135.192.101,46,25,54.35
ts8-1.westwood.ts.ucla.edu,38,37,97.37
203.13.168.24,36,25,69.44
onramp2-9.onr.com,33,22,66.67
tty18-23.swipnet.se,30,23,76.67
user36.znet.com,30,25,83.33
198.40.25.102.sap2.artic.edu,26,21,80.77
utsi057.utsi.com,26,17,65.38
ix-atl10-08.ix.netcom.com,25,16,64.0
203.13.168.17,25,25,100.0
dialup551.chicago.mci.net,24,18,75.0
dialup539.washington.mci.net,22,12,54.55
rserio.charm.net,21,15,71.43
msp1-16.nas.mr.net,20,20,100.0
ix-ir14-21.ix.netcom.com,20,14,70.0
envpow182.innopoli.fi,19,12,63.16
cougar.oro.net,18,17,94.44
eda241.lds.loral.com,18,10,55.56
tbailey.jpl.nasa.gov,18,14,77.78
foxlake.library.nwu.edu,17,11,64.71
micromatix.jagunet.com,16,16,100.0
dfyc-lab146.usafa.af.mil,16,10,62.5
ix-bal2-14.ix.netcom.com,16,9,56.25
seabrk.mindspring.com,14,8,57.14
slip167.slip.uleth.ca,13,13,100.0
ns.nuis.ac.jp,13,7,53.85
scarlatti.informatik.rwth-aachen.de,13,7,53.85
dialup-3-204.gw.umn.edu,12,7,58.33
enadpc39.cc.purdue.edu,12,7,58.33
styx21.tripnet.se,11,7,63.64
ppp133.callamer.com,11,6,54.55
129.252.188.125,10,7,70.0
202.48.230.104,10,7,70.0
lvl-mac006.usc.edu,10,7,70.0
h-tranverso.richmond.infi.net,9,9,100.0
rs590.geo.kyushu-u.ac.jp,9,9,100.0
205.138.107.228,9,9,100.0
ix-atl1-05.ix.netcom.com,9,9,100.0
137.96.114.191,9,6,66.67
pppex1.asahi-net.or.jp,9,6,66.67
144.30.4.20,8,5,62.5
164.116.99.55,8,5,62.5
edt.thegroup.net,7,5,71.43
155.33.77.108,7,6,85.71
sxjones.apgea.army.mil,7,6,85.71
cs1-13.all.ptd.net,6,4,66.67
dialup516.chicago.mci.net,6,6,100.0
ip157.portland.or.interramp.com,6,5,83.33
202.32.92.28,6,6,100.0
192.231.202.216,6,5,83.33
128.158.55.113,6,6,100.0
ttyc11ip.magic.mb.ca,6,6,100.0
lash.vip.best.com,6,6,100.0
128.217.62.192,6,6,100.0
max1-101.hiwaay.net,6,6,100.0
ip155.portland.or.interramp.com,5,3,60.0
pc102.artisoft.com,5,5,100.0
a13.ppp.mo.net,5,5,100.0
dialrop7.mhs.mendocino.k12.ca.us,5,3,60.0
cod.nosc.mil,5,4,80.0
van14405.direct.ca,5,3,60.0
pped04.tamu.edu,5,3,60.0
tao.halcyon.com,5,5,100.0
dialup138.azstarnet.com,5,5,100.0
x177-1.med.umn.edu,5,5,100.0
135.133.51.104,5,3,60.0
pc31-di.uam.mx,5,3,60.0
198.83.214.16,4,4,100.0
168.188.203.58,4,3,75.0
slip03.cs1.electriciti.com,4,4,100.0
138.27.192.24,4,4,100.0
slip39.enet.net,4,4,100.0
170.91.52.155,4,4,100.0
204.157.201.145,4,3,75.0
mars000.hssc.ksc.nasa.gov,4,4,100.0
a01.ppp.ot.net,4,3,75.0
drabenstottduo.sils.umich.edu,4,4,100.0
204.157.204.213,4,3,75.0
134.53.64.101,4,4,100.0
dca02319.slip.digex.net,4,4,100.0
192.127.247.27,4,3,75.0
146.186.147.20,4,3,75.0
ss28.ssnet.com,4,4,100.0
np628b.cad.ksc.nasa.gov,4,4,100.0
galatea.pica.army.mil,4,4,100.0
devans-mac.cisco.com,4,3,75.0
parsifal.nando.net,4,3,75.0
dialup-4-77.gw.umn.edu,4,3,75.0
131.110.54.140,4,3,75.0
ix-rtp5-11.ix.netcom.com,4,3,75.0
192.91.7.84,4,4,100.0
cs1-14.haz.ptd.net,4,3,75.0
vo2max.pdev.sco.com,3,3,100.0
paq-p1-32.alaska.net,3,2,66.67
192.67.113.127,3,2,66.67
130.110.38.159,3,2,66.67
ghbb3.sisnet.ssku.k12.ca.us,3,3,100.0
lab-228-09.ucs.orst.edu,3,3,100.0
194.64.69.155,3,2,66.67
153.36.63.49,3,3,100.0
cs8port.netvoyage.net,3,3,100.0
ix-atl9-04.ix.netcom.com,3,2,66.67
d20.success.net,3,2,66.67
dialup-74.austin.io.com,3,2,66.67
blackmail.execpc.com,3,3,100.0
poseidon.csci.unt.edu,3,2,66.67
msp2-2.nas.mr.net,3,3,100.0
rts1p04.its.rpi.edu,3,2,66.67
ip125.akron.oh.interramp.com,3,2,66.67
192.112.219.107,3,2,66.67
199.101.8.169,3,3,100.0
peg1-ts13.peganet.com,3,3,100.0
dyna240.intr.net,3,2,66.67
door3.mcad.edu,3,2,66.67
max.siast.sk.ca,3,2,66.67
138.13.121.232,3,2,66.67
163.205.154.122,3,3,100.0
pm55.smartlink.net,3,3,100.0
dialup98-122.swipnet.se,3,3,100.0
mgm7.enet.net,3,2,66.67
asm29.idbsu.edu,3,3,100.0
linuser18.li.net,3,3,100.0
ftmfl2-48.gate.net,3,2,66.67
ix-lb8-03.ix.netcom.com,3,2,66.67
hydra3.wln.com,3,2,66.67
204.120.34.106,3,2,66.67
ip194.cleveland.oh.interramp.com,3,2,66.67
205.164.184.7,3,3,100.0
rjones.jsc.nasa.gov,3,3,100.0
dfcs69.usafa.af.mil,3,3,100.0
153.73.3.98,3,2,66.67
38.11.2.214,3,3,100.0
arile2.hl.alfred.edu,3,3,100.0
laborde.net5c.io.org,3,2,66.67
ohica.mdcorp.ksc.nasa.gov,3,2,66.67
ip173.sacramento.ca.interramp.com,3,2,66.67
ip-20-137.medio.net,3,2,66.67
annexp6.uccs.edu,2,2,100.0
139.169.52.155,2,2,100.0
st-sid-rich-dyn-20.baylor.edu,2,2,100.0
nnex03.ppp.uni-marburg.de,2,2,100.0
pop29.solo.pipex.co.za,2,2,100.0
139.121.44.130,2,2,100.0
adro.radar1.sp-agency.ca,2,2,100.0
205.188.0.99,2,2,100.0
ppp2016.po.iijnet.or.jp,2,2,100.0
pappind.mayo.edu,2,2,100.0
204.248.154.1,2,2,100.0
ix-pa6-01.ix.netcom.com,2,2,100.0
ns12.moran.com,2,2,100.0
140.174.133.150,2,2,100.0
199.29.132.2,2,2,100.0
ppp-pulaski-4.netnet.net,2,2,100.0
rainbow.uwaterloo.ca,2,2,100.0
oak.cc.vt.edu,2,2,100.0
129.107.16.83,2,2,100.0
slip865.rmii.com,2,2,100.0
ip33.van1.pacifier.com,2,2,100.0
ariel.mit.edu,2,2,100.0
198.5.176.180,2,2,100.0
199.183.200.57,2,2,100.0
xtsd0102.it.wsu.edu,2,2,100.0
homepc.celtic.co.uk,2,2,100.0
193.43.125.1,2,2,100.0
slip27.netis.com,2,2,100.0
ix-mia5-11.ix.netcom.com,2,2,100.0
pccurs01.orden.cl,2,2,100.0
denv10.planet.net,2,2,100.0
wartburg.daimi.aau.dk,2,2,100.0
135.135.122.215,2,2,100.0
198.83.13.33,2,2,100.0
ttyta.tyrell.net,2,2,100.0
161.119.231.69,2,2,100.0
138.73.1.223,2,2,100.0
130.127.58.87,2,2,100.0
199.104.67.103,2,2,100.0
usr7-dialup51.chicago.mci.net,2,2,100.0
dragon.jsums.edu.132.143.in-addr.arpa,2,2,100.0
128.158.50.207,2,2,100.0
156.99.106.136,2,2,100.0
stubediv.soonet.ca,2,2,100.0
chas.ndl.co.uk,2,2,100.0
164.117.147.120,2,2,100.0
fat-28.cybergate.com,2,2,100.0
ppp2-lj2.arnes.si,2,2,100.0
ppp-dc-1-2.ios.com,2,2,100.0
ras1.qds.com,2,2,100.0
198.174.181.1,2,2,100.0
136.177.28.203,2,2,100.0
sarastro.csd.unb.ca,2,2,100.0
128.171.9.230,2,2,100.0
198.109.64.36,2,2,100.0
129.50.20.11,2,2,100.0
ix-phi1-11.ix.netcom.com,2,2,100.0
office.acs.uncwil.edu,2,2,100.0
kalkwarf.uthscsa.edu,2,2,100.0
dwalker.ball.com,2,2,100.0
131.120.146.121,2,2,100.0
msp1-3.nas.mr.net,2,2,100.0
133.37.58.165,2,2,100.0
pc239.admin.uvsc.edu,2,2,100.0
ix-aus4-21.ix.netcom.com,2,2,100.0
sam-ppp-m2.neosoft.com,2,2,100.0
slip47.ucs.orst.edu,2,2,100.0
205.173.249.11,2,2,100.0
cs1-04.sun.ptd.net,2,2,100.0
tyo0075.bekkoame.or.jp,2,2,100.0
164.47.79.70,2,2,100.0
oly12-ts.olympia.com,1,1,100.0
airbus.oec.com,1,1,100.0
hfxpm1-d138.atcon.com,1,1,100.0
163.205.62.17,1,1,100.0
134.241.27.167,1,1,100.0
dstaight.seanet.com,1,1,100.0
training-mac28.caltech.edu,1,1,100.0
ix-har-pa1-13.ix.netcom.com,1,1,100.0
133.68.111.46,1,1,100.0
charlie.jhuapl.edu,1,1,100.0
subsrv.mt.tama.hosei.ac.jp,1,1,100.0
yb.nsd.uib.no,1,1,100.0
europa.odn.ohio.gov,1,1,100.0
155.42.19.8,1,1,100.0
134.71.170.49,1,1,100.0
134.71.170.43,1,1,100.0
mvr31.cit.cornell.edu,1,1,100.0
ix-tf1-18.ix.netcom.com,1,1,100.0
cl.globalx.net,1,1,100.0
129.53.75.163,1,1,100.0
jbinnema.oanet.com,1,1,100.0
host1.parallaxtech.com,1,1,100.0
129.237.179.123,1,1,100.0
138.49.28.50,1,1,100.0
ppp-236-104.neta.com,1,1,100.0
128.202.116.56,1,1,100.0
149.165.37.52,1,1,100.0
scratchy.itsnet.com,1,1,100.0
terminator.usae.bah.com,1,1,100.0
128.158.46.102,1,1,100.0
128.158.11.56,1,1,100.0
ix-dc17-23.ix.netcom.com,1,1,100.0
tokachi.edu.tut.ac.jp,1,1,100.0
lw008.e-technik.uni-erlangen.de,1,1,100.0
pc21.zf.jcu.cz,1,1,100.0
hank.msn.fullfeed.com,1,1,100.0
159.142.161.179,1,1,100.0
s109n104.csun.edu,1,1,100.0
164.117.150.57,1,1,100.0
lagoon.sci-ed.fit.edu,1,1,100.0
sys1013106.orl.mmc.com,1,1,100.0
dial15.intergate.com,1,1,100.0
kip199.austin.apple.com,1,1,100.0
ix-ric-va1-24.ix.netcom.com,1,1,100.0
berilio.fee.unicamp.br,1,1,100.0
mac-34.vistar.ca,1,1,100.0
amulek.cs.byu.edu,1,1,100.0
slip132-201.dc.us.ibm.net,1,1,100.0
s109n150.csun.edu,1,1,100.0
netb59.bah.com,1,1,100.0
139.169.85.72,1,1,100.0
star79.hkstar.com,1,1,100.0
152.157.179.249,1,1,100.0
137.82.222.49,1,1,100.0
137.104.128.5,1,1,100.0
ix-phx5-26.ix.netcom.com,1,1,100.0
ix-sea7-20.ix.netcom.com,1,1,100.0
ix-ont4-05.ix.netcom.com,1,1,100.0
fnolan.earthlink.net,1,1,100.0
129.186.77.20,1,1,100.0
ppp5.swcp.com,1,1,100.0
204.174.70.159,1,1,100.0
204.235.81.66,1,1,100.0
158.140.56.243,1,1,100.0
134.124.43.223,1,1,100.0
192.72.60.110,1,1,100.0
go2indy.ari.ch,1,1,100.0
193.5.173.21,1,1,100.0
192.115.181.109,1,1,100.0
ts34p3.netvision.net.il,1,1,100.0
martinbeste.vnet.net,1,1,100.0
pjlamber.deltanet.com,1,1,100.0
162.127.27.227,1,1,100.0
dialup2.lyceum.com,1,1,100.0
133.5.201.185,1,1,100.0
dub.portola.com,1,1,100.0
slip27.inlink.com,1,1,100.0
slip069.fortnet.org,1,1,100.0
ix-wh6-17.ix.netcom.com,1,1,100.0
194.16.79.113,1,1,100.0
x11.communique.se,1,1,100.0
pm2-20.tricon.net,1,1,100.0
204.178.75.5,1,1,100.0
async10-3.remote.ualberta.ca,1,1,100.0
client-71-149.online.apple.com,1,1,100.0
tartan.tuc.noao.edu,1,1,100.0
wright.gsfc.nasa.gov,1,1,100.0
wpoor.tiac.net,1,1,100.0
s2132.netins.net,1,1,100.0
whonig.psychology.dal.ca,1,1,100.0
193.49.140.67,1,1,100.0
132.198.17.108,1,1,100.0
jck7326.dukepower.com,1,1,100.0
ix-tam2-19.ix.netcom.com,1,1,100.0
soundman.earthlink.net,1,1,100.0
ix-pit3-09.ix.netcom.com,1,1,100.0
txx-18.tmc.shu.ac.uk,1,1,100.0
198.147.175.191,1,1,100.0
eads.ncsa.uiuc.edu,1,1,100.0
avatar.remote.ualberta.ca,1,1,100.0
129.52.34.89,1,1,100.0
dijon.nais.com,1,1,100.0
136.242.189.120,1,1,100.0
s003n222.csun.edu,1,1,100.0
bronco.is.csupomona.edu,1,1,100.0
node79.psyc.memphis.edu,1,1,100.0
bmg131.cmc.uab.edu,1,1,100.0
204.95.22.20,1,1,100.0
dialup19.smartnet.net,1,1,100.0
200.9.57.117,1,1,100.0
slip-ppp-18.fileshop.com,1,1,100.0
maxvision.com,1,1,100.0
d28.itsnet.com,1,1,100.0
student_8_mac.jhuapl.edu,1,1,100.0
pc212.cpf.navy.mil,1,1,100.0
mac18.fcw.com,1,1,100.0
dyn-382.direct.ca,1,1,100.0
doppler.thp.univie.ac.at,1,1,100.0
fac-217.atalk.stolaf.edu,1,1,100.0
slip874.rmii.com,1,1,100.0
131.176.45.121,1,1,100.0
raptor.csc.flint.umich.edu,1,1,100.0
204.239.181.35,1,1,100.0
stron11.stir.ac.uk,1,1,100.0
tty20.com1.infohwy.com,1,1,100.0
ws9350ad9c.dhs.texas.gov,1,1,100.0
rimeice.msfc.nasa.gov,1,1,100.0
s15-255.ties.k12.mn.us,1,1,100.0
dyna232.intr.net,1,1,100.0
128.158.48.245,1,1,100.0
mary_ellen.interval.net,1,1,100.0
aardvarc.demon.co.uk,1,1,100.0
dial-2.r1.nclxtn.sunbelt.net,1,1,100.0
pc31.ctc.aosmith.com,1,1,100.0
perry.cnwl.igs.net,1,1,100.0
slnew1p05.ozemail.com.au,1,1,100.0
a7157.dial.tip.net,1,1,100.0
167.76.159.11,1,1,100.0
previa.vol.it,1,1,100.0
198.59.100.167,1,1,100.0
ix-sj19-01.ix.netcom.com,1,1,100.0
134.68.142.16,1,1,100.0
enigmanet27.idirect.com,1,1,100.0
siskon10.pori.tut.fi,1,1,100.0
165.212.158.111,1,1,100.0
newops10.loc201.tandem.com,1,1,100.0
128.217.61.32,1,1,100.0
dfyc24.usafa.af.mil,1,1,100.0
128.95.234.46,1,1,100.0
tuffy-slip-d6.neosoft.com,1,1,100.0
205.164.94.28,1,1,100.0
ppp26.vestnett.no,1,1,100.0
wdial203.futuris.net,1,1,100.0
128.158.28.14,1,1,100.0
dsl.rhilinet.gov,1,1,100.0
128.111.114.165,1,1,100.0
137.245.230.136,1,1,100.0
treble.clarinet.com,1,1,100.0
slsyd1p60.ozemail.com.au,1,1,100.0
slipper116252.iaccess.za,1,1,100.0
194.170.2.11,1,1,100.0
128.100.88.49,1,1,100.0
cbpd.vnet.net,1,1,100.0
anp7.intercon.net,1,1,100.0
firewall.remedy.com,1,1,100.0
129.10.194.77,1,1,100.0
199.183.205.151,1,1,100.0
net026.geneva.edu,1,1,100.0
mercury.rutgers.edu,1,1,100.0
198.154.21.76,1,1,100.0
139.102.18.90,1,1,100.0
bkuchar.pr.mcs.net,1,1,100.0
141.132.95.120,1,1,100.0
max1-109.hiwaay.net,1,1,100.0
jobs09.cfi.waseda.ac.jp,1,1,100.0
199.45.83.57,1,1,100.0
199.86.17.188,1,1,100.0
swift.compbio.caltech.edu,1,1,100.0
ppp2.lanminds.com,1,1,100.0
168.170.28.37,1,1,100.0
free2-slip218.tele.queensu.ca,1,1,100.0
142.227.56.60,1,1,100.0
ss1-8.lab.cwu.edu,1,1,100.0
sparky.ur.ilstu.edu,1,1,100.0
206.24.168.105,1,1,100.0
192.56.191.191,1,1,100.0
card-captainblood.mgh.harvard.edu,1,1,100.0
192.73.56.186,1,1,100.0
slip_pc90.ulb.ac.be,1,1,100.0
ix-sbo-ca1-20.ix.netcom.com,1,1,100.0
freeside.scsd.k12.ny.us,1,1,100.0
192.188.190.179,1,1,100.0
hfxpm2-d182.atcon.com,1,1,100.0
ppp003.po.iijnet.or.jp,1,1,100.0
ottawa-ts-38.nstn.ca,1,1,100.0
cybernaut.reg.uci.edu,1,1,100.0
192.219.29.108,1,1,100.0
155.43.48.68,1,1,100.0
128.158.56.140,1,1,100.0
sailboat.acs.uncwil.edu,1,1,100.0
128.159.53.132,1,1,100.0
139.169.64.68,1,1,100.0
node-41-32.rv.scientech.com,1,1,100.0
ppp-2.lis.ab.ca,1,1,100.0
tmichaelh.ozonline.com.au,1,1,100.0
bucku5.rice.edu,1,1,100.0
arc-tac2-slip2.nsi.nasa.gov,1,1,100.0
wustlb.wustl.edu,1,1,100.0
198.110.216.104,1,1,100.0
156.80.71.137,1,1,100.0
ncc1701.eng.mcmaster.ca,1,1,100.0
ottawa-ts-24.nstn.ca,1,1,100.0
131.201.97.43,1,1,100.0
pournelle.rice.edu,1,1,100.0
198.245.141.16,1,1,100.0
clamp.mame.syr.edu,1,1,100.0
ix-sj16-20.ix.netcom.com,1,1,100.0
17.127.203.15,1,1,100.0
mac3.microlab-bldb.cgc.maricopa.edu,1,1,100.0
ip16.portland.or.interramp.com,1,1,100.0
198.69.186.5,1,1,100.0
203.10.73.4,1,1,100.0
205.173.249.27,1,1,100.0
sterling.dsto.gov.au,1,1,100.0
204.70.239.70,1,1,100.0
144.174.20.3,1,1,100.0
da.ptw.com,1,1,100.0
blackbird.ksc.nasa.gov,1,1,100.0
cyprus.cc.ece.ntua.gr,1,1,100.0
azure.medlib.arizona.edu,1,1,100.0
152.20.12.198,1,1,100.0
mcintyre.ibd.nrc.ca,1,1,100.0
eyewall.met.psu.edu,1,1,100.0
overlyj1.uncg.edu,1,1,100.0
kh541-pm1.unomaha.edu,1,1,100.0
198.253.9.50,1,1,100.0
default55.usa.cerfnet.com,1,1,100.0
mgreen.rehab.lsumc.edu,1,1,100.0
204.184.18.54,1,1,100.0
training-mac18.caltech.edu,1,1,100.0
carlos.uthscsa.edu,1,1,100.0
ip-salem2-21.teleport.com,1,1,100.0
150.140.11.112,1,1,100.0
ava-13.hut.fi,1,1,100.0
192.194.25.58,1,1,100.0
psummerl.b1.ingr.com,1,1,100.0
192.32.129.85,1,1,100.0
scfb30.ioi.tue.nl,1,1,100.0
fuller.lance.colostate.edu,1,1,100.0
cds07.ateng.az.honeywell.com,1,1,100.0
badlands.nodak.edu,1,1,100.0
147.129.34.53,1,1,100.0
cairns.cdt-bnp.iway.fr,1,1,100.0
cis_staff-kntx103.cis.brown.edu,1,1,100.0
202.68.11.35,1,1,100.0
srubenfe.d.umn.edu,1,1,100.0
rothko.ucsf.edu,1,1,100.0
157.176.12.11,1,1,100.0
204.225.117.151,1,1,100.0
cust019.nb2.new-york.ny.alterdial.alter.net,1,1,100.0
159.64.237.35,1,1,100.0
132.201.5.202,1,1,100.0
204.186.16.6,1,1,100.0
d13.itsnet.com,1,1,100.0
147.120.172.113,1,1,100.0
129.52.29.195,1,1,100.0
199.201.104.203,1,1,100.0
ix-stm1-07.ix.netcom.com,1,1,100.0
ip-pdx3-10.teleport.com,1,1,100.0
gbpc.sundsvall.trab.se,1,1,100.0
ix-dc6-01.ix.netcom.com,1,1,100.0
sag1.cs.esrin.esa.it,1,1,100.0
mac02.ritslab.ubc.ca,1,1,100.0
134.131.224.1,1,1,100.0
205.188.0.81,1,1,100.0
128.158.46.66,1,1,100.0
128.158.40.33,1,1,100.0
204.215.225.16,1,1,100.0
h-longwalk.norfolk.infi.net,1,1,100.0
annex2p26.sdsu.edu,1,1,100.0
ctulab13.mck.ncsu.edu,1,1,100.0
194.151.10.3,1,1,100.0
gwilliam.mn01.bull.com,1,1,100.0
cust29.max3.cleveland.oh.ms.uu.net,1,1,100.0
slip132-134.dc.us.ibm.net,1,1,100.0
147.159.207.176,1,1,100.0
155.79.151.101,1,1,100.0
139.169.60.94,1,1,100.0
202.241.5.1,1,1,100.0
slip132-130.dc.us.ibm.net,1,1,100.0
dialip-24.athenet.net,1,1,100.0
wrzx12.rz.uni-wuerzburg.de,1,1,100.0
ppp7.coara.or.jp,1,1,100.0
141.102.81.33,1,1,100.0
mgatsby.earthlink.net,1,1,100.0
206.42.178.38,1,1,100.0
p05.cb0.harborside.com,1,1,100.0
cat30.slis.uwo.ca,1,1,100.0
ppp25.coara.or.jp,1,1,100.0
131.237.187.5,1,1,100.0
ppp05.vestnett.no,1,1,100.0
193.71.201.119,1,1,100.0
165.154.7.119,1,1,100.0
148.246.247.77,1,1,100.0
n1032805.ksc.nasa.gov,1,1,100.0
ppp027.nagy.tcp-ip.or.jp,1,1,100.0
van12350.direct.ca,1,1,100.0
132.198.175.64,1,1,100.0
amadeus.spin.com.mx,1,1,100.0
ix-jac1-04.ix.netcom.com,1,1,100.0
port49.annex3.net.ubc.ca,1,1,100.0
150.190.52.41,1,1,100.0
urawa105.infosphere.or.jp,1,1,100.0
194.166.28.14,1,1,100.0
128.226.105.3,1,1,100.0
eosdata.gsfc.nasa.gov,1,1,100.0
163.202.52.32,1,1,100.0
vccnw10.its.rpi.edu,1,1,100.0
131.120.146.131,1,1,100.0
134.124.181.46,1,1,100.0
198.83.139.33,1,1,100.0
op1.sbac.edu,1,1,100.0
